Plot,Year,Forest_side,Population,Surveyor,Latitude,Longitude,Young_hemiptera,Young_nohemiptera,Health_hemiptera,Health_nohemiptera,Infec_hemiptera,Infec_nohemiptera,Total_trilliums,Total_adult_trilliums,Total_infec_trilliums,Freq_hemiptera_total,Freq_infection_of_total,Young_to_repro_ratio,Freq_infection_of_adults,Freq_hemiptera_adults
1,2023,West,2,JB,44.034988,-79.537721,14,25,20,2,0,0,61,22,0,0.5573770492,0,1.772727273,0,0.9090909091
2,2023,West,6,JB,44.036285,-79.53761,8,5,11,0,1,0,25,12,1,0.8,0.04,1.083333333,0.08333333333,1
3,2023,West,2,JB,44.035975,-79.537473,9,9,20,3,3,0,44,26,3,0.7272727273,0.06818181818,0.6923076923,0.1153846154,0.8846153846
4,2023,West,4,JB,44.036115,-79.53724,14,14,15,3,2,1,49,21,3,0.6326530612,0.0612244898,1.333333333,0.1428571429,0.8095238095
5,2023,West,4,JB,44.036176,-79.536677,7,23,22,10,0,1,63,33,1,0.4603174603,0.01587301587,0.9090909091,0.0303030303,0.6666666667
6,2023,West,4,JB,44.036225,-79.536619,27,30,34,4,3,0,98,41,3,0.6530612245,0.0306122449,1.390243902,0.07317073171,0.9024390244
7,2023,West,4,JB,44.036249,-79.53653,22,19,48,17,2,0,108,67,2,0.6666666667,0.01851851852,0.6119402985,0.02985074627,0.7462686567
8,2023,West,4,JB,44.036211,-79.536695,3,1,27,1,1,0,33,29,1,0.9393939394,0.0303030303,0.1379310345,0.03448275862,0.9655172414
9,2023,West,4,JB,44.036169,-79.536664,20,6,21,0,1,0,48,22,1,0.875,0.02083333333,1.181818182,0.04545454545,1
10,2023,West,4,JB,44.036297,-79.536597,1,4,11,6,0,0,22,17,0,0.5454545455,0,0.2941176471,0,0.6470588235
11,2023,West,4,JB,44.036297,-79.53645,3,4,14,2,3,0,26,19,3,0.7692307692,0.1153846154,0.3684210526,0.1578947368,0.8947368421
12,2023,West,4,JB,44.036213,-79.536372,4,6,15,11,1,1,38,28,2,0.5263157895,0.05263157895,0.3571428571,0.07142857143,0.5714285714
13,2023,West,4,JB,44.036246,-79.536455,11,23,20,15,0,0,69,35,0,0.4492753623,0,0.9714285714,0,0.5714285714
